SHIFT_ID,WORKER_ID,WORKPLACE_ID,SHIFT_START_AT,SHIFT_CREATED_AT,OFFER_VIEWED_AT,DURATION,SLOT,CLAIMED_AT,IS_VERIFIED,IS_NCNS,PAY_RATE,CHARGE_RATE,CLAIMED,LEAD_TIME_HOUR
6769d2f0be552a750e270c7d,646ecf534107b99bc1166353,5ebf09a7fe8b200017aeb9eb,2024-12-26T22:30:00Z,2024-12-23T21:15:28Z,2024-12-23T21:31:58Z,8,pm,2024-12-23T21:32:12Z,TRUE,FALSE,21.82,26,1,73.2422222222222
677accaa240915e54c9446e6,655cc9597ff7c6eee557d150,61f1d66bcc1e0a018a32786c,2025-01-06T22:30:00Z,2025-01-05T18:17:15Z,2025-01-05T23:23:22Z,8,pm,2025-01-05T23:23:26Z,TRUE,FALSE,25.39,36,1,28.2125
66f3181b1b23114840860078,64fbab52be202a3a2e544f64,5c539532fe63b800166ddb2d,2024-09-27T05:30:00Z,2024-09-24T19:50:52Z,2024-09-25T02:17:55Z,8,noc,2024-09-25T02:18:48Z,TRUE,FALSE,23.46,30,1,57.6522222222222
67608e78b0d36023287b956f,6447aa0304ac6a540c09528d,617195fe61cfc6016a47a1de,2024-12-16T23:00:00Z,2024-12-16T20:32:56Z,2024-12-16T20:44:40Z,8,pm,2024-12-16T20:45:14Z,TRUE,FALSE,27.92,38,1,2.45111111111111
67630c119afbd87e7ed34609,6239e9a5712d5701aac7027f,61f1d66bcc1e0a018a32786c,2024-12-22T14:30:00Z,2024-12-18T17:53:21Z,2024-12-19T00:52:58Z,8,am,2024-12-19T00:53:41Z,TRUE,FALSE,25.43,36,1,92.6108333333333
6774939264d37ece4fc0490b,6325cfcd9603d78083882405,61b0d0ed0a1f9a01805c0531,2025-01-01T02:00:00Z,2025-01-01T01:00:02Z,2025-01-01T01:07:06Z,12,noc,2025-01-01T01:07:20Z,TRUE,FALSE,48.43,40,1,0.999444444444445
678a08b6cabfb85f58c3e72a,669f2ab8d0200bf317f64aa4,5ebf16f8fe8b200017aebe0f,2025-01-18T07:00:00Z,2025-01-17T07:37:26Z,2025-01-17T07:37:27Z,8,noc,2025-01-17T07:37:27Z,TRUE,FALSE,21.05,26,1,23.3761111111111
674e2e21c3fa36b6dc33014f,614b501cff90cc01668957d1,611af67795f4c501662edb31,2024-12-06T14:30:00Z,2024-12-02T22:01:06Z,2024-12-03T05:15:26Z,8,am,2024-12-03T05:15:32Z,FALSE,FALSE,21.71,24,1,88.4816666666667
66fcfb1a6be5a6937a28b0cd,66a40faed0200bf317834610,66fc129ed5b34b9bd50b7626,2024-10-05T13:00:00Z,2024-10-02T07:49:47Z,2024-10-02T07:50:13Z,8,am,2024-10-02T07:50:14Z,TRUE,FALSE,22.25,33,1,77.1702777777778
674e2e04c3fa36b6dc32fd23,645a4987b13deaf45fc560e2,611af67795f4c501662edb31,2024-12-05T14:30:00Z,2024-12-02T22:00:37Z,2024-12-02T22:07:07Z,8,am,2024-12-02T22:07:16Z,TRUE,FALSE,21.42,24,1,64.4897222222222
6759ea4d337d431e27e0efce,6447aa0304ac6a540c09528d,61f1d66bcc1e0a018a32786c,2024-12-13T06:30:00Z,2024-12-11T19:38:53Z,2024-12-11T19:55:13Z,8,noc,2024-12-11T19:55:17Z,TRUE,FALSE,25.09,36,1,34.8519444444444
6774196d9e616e7a60e7fcce,638d7c2d528ff98564f2d312,5ebf16f8fe8b200017aebe0f,2024-12-31T23:00:00Z,2024-12-31T16:18:53Z,2024-12-31T16:55:37Z,8,pm,2024-12-31T16:56:29Z,TRUE,FALSE,36.25,26,1,6.68527777777778
66ee392ee62bb5f43e3bd999,6319903788cffd66f1cc53da,611af67795f4c501662edb31,2024-10-27T21:30:00Z,2024-09-21T03:10:39Z,2024-10-20T05:28:27Z,8,pm,2024-10-20T05:28:34Z,TRUE,FALSE,22.13,24,1,882.3225
6747bc88336b48f83442cc3b,611da98e02f50b0166ea861a,5f5bca132f95160016b723ff,2024-12-01T22:30:00Z,2024-11-28T00:42:48Z,2024-11-28T01:07:43Z,9,pm,2024-11-28T01:09:41Z,TRUE,FALSE,28.23,37,1,93.7866666666667
66f1d48222d110b696301d9b,634245adfb9a096b9ebed51b,64c7e5435df954ecfc20ee88,2024-09-24T15:20:00Z,2024-09-23T20:50:10Z,2024-09-23T20:50:36Z,8,am,2024-09-23T20:50:37Z,TRUE,FALSE,33.48,31,1,18.4972222222222
67474366e3c6eb57b5809ba8,62fbe36f0b9c9801b46795e6,60dba05c86c2470166fb1296,2024-12-25T15:00:00Z,2024-11-27T16:05:58Z,2024-11-27T16:25:39Z,8,am,2024-11-27T16:26:26Z,TRUE,FALSE,44.69,39,1,670.900555555556
66c667910baf066b4fbe100c,669c1f43d0200bf317045cbb,5e7266e3759cf60016d86c98,2024-09-25T22:00:00Z,2024-08-21T22:17:53Z,2024-08-22T15:50:21Z,8,pm,2024-08-22T15:50:30Z,TRUE,FALSE,20.27,34,1,839.701944444444
66f994f9da8d24fd7255d175,63e58fe108d1f563242844d2,5e95d5f5cf5e8d001653314e,2024-10-01T14:00:00Z,2024-09-29T17:57:13Z,2024-09-29T18:07:42Z,8,am,2024-09-29T18:08:32Z,TRUE,FALSE,21.72,37,1,44.0463888888889
67335b81b1cd0aaf0b0e9fe3,645e62f74107b99bc1ada48e,6197b1e6a706b30180020448,2024-11-12T14:00:00Z,2024-11-12T13:43:30Z,2024-11-12T13:50:22Z,8,am,2024-11-12T13:50:42Z,TRUE,FALSE,35.02,34,1,0.275
67618522eea448dadcdb380b,61b3dd4111dd810185a2c4d1,637e71fd4a702e01b5e6261b,2024-12-18T19:00:00Z,2024-12-17T14:05:22Z,2024-12-17T17:47:59Z,6,am,2024-12-17T17:48:18Z,TRUE,FALSE,19.81,28,1,28.9105555555556
6774c470b86fe18d3e9beccb,5bc0f968d7e9ff0004c767a5,628439ec1df59901b9c4f568,2025-01-03T06:30:00Z,2025-01-01T04:28:33Z,2025-01-01T04:28:37Z,8,noc,2025-01-01T04:28:41Z,TRUE,FALSE,20.14,30,1,50.0241666666667
67128b2b859dbf1a35e0fe8d,66bee0b893d8c27168364405,5f594c78bec4a800166418eb,2024-10-22T21:00:00Z,2024-10-18T16:22:04Z,2024-10-18T22:34:53Z,8,pm,2024-10-18T22:35:40Z,TRUE,FALSE,19.05,36,1,100.632222222222
6706fbea8ba86ae7af82df8a,663d01c65859f423894a1c35,6682fbd431094eacf70b20f1,2024-10-13T21:15:00Z,2024-10-09T21:55:54Z,2024-10-10T07:35:31Z,8,pm,2024-10-10T07:36:15Z,TRUE,FALSE,19.16,37,1,95.3183333333333
6713d30275d43858dc2bc786,623c961f0dc93801adf61eb8,6414b0c9c9fddd01b5432519,2024-10-20T13:00:00Z,2024-10-19T15:40:50Z,2024-10-19T16:47:51Z,8,am,2024-10-19T16:49:09Z,TRUE,FALSE,25.18,46,1,21.3194444444444
66facf1f76e9a9269469c5c2,654337c47ff7c6eee51e47a2,644ad704e30bb601b9ec5b76,2024-10-07T12:00:00Z,2024-09-30T16:17:36Z,2024-10-07T17:55:02Z,12,am,2024-10-07T17:55:03Z,TRUE,FALSE,36.83,39,1,163.706666666667
673a5add92eded256665da81,627d17fea209b801c038a351,5ebf09a7fe8b200017aeb9eb,2024-11-18T22:30:00Z,2024-11-17T21:06:38Z,2024-11-17T21:39:57Z,8,pm,2024-11-17T21:40:45Z,TRUE,FALSE,22.95,26,1,25.3894444444444
677846e0b050cd4685209c31,62b434f1320d4401bb19d21f,649cab49c4c12701bb7a2350,2025-01-04T06:00:00Z,2025-01-03T20:21:52Z,2025-01-03T21:33:35Z,8,noc,2025-01-03T21:33:52Z,TRUE,FALSE,23.42,31,1,9.63555555555556
66fb06c218e6bea103f766e7,6520700ecc967a5ceb8f6552,5e95d5f5cf5e8d001653314e,2024-10-02T22:00:00Z,2024-09-30T20:14:59Z,2024-10-02T19:43:42Z,8,pm,2024-10-02T19:43:53Z,TRUE,FALSE,36.77,37,1,49.7502777777778
670b3e672b7cfafac400f8be,5f05134d68380400171fe5b1,61a568e0cb11990185bb97c7,2024-10-16T05:30:00Z,2024-10-13T03:28:39Z,2024-10-13T03:47:05Z,8,noc,2024-10-13T03:47:40Z,TRUE,FALSE,24.82,39,1,74.0225
676afab81f32f33ed2df33a4,6190f8bf677f8e0186467f06,65f1b8bf2ff976b93afd5d8b,2024-12-25T14:30:00Z,2024-12-24T18:17:29Z,2024-12-24T18:17:48Z,9,am,2024-12-24T18:18:34Z,TRUE,FALSE,51.21,34,1,20.2086111111111
6746086c4009fd4bb41bcb7a,6281766759109301c15ef45a,65fde23ff14f0eebdc8178d2,2024-12-18T14:30:00Z,2024-11-26T17:42:04Z,2024-11-26T17:43:00Z,8,am,2024-11-26T17:43:03Z,TRUE,FALSE,26.53,32,1,524.798888888889
67409c7631dfa289c63cdeb9,6143854b6526530166054953,61c3ac32bc5db301874bf1e5,2024-12-28T22:00:00Z,2024-11-22T15:00:06Z,2024-12-26T20:06:20Z,8,pm,2024-12-26T20:06:26Z,TRUE,FALSE,21.45,28,1,870.998333333333
676a337d30e1798d551a9182,638d6147528ff98564069ef6,61a568e0cb11990185bb97c7,2024-12-26T22:30:00Z,2024-12-24T04:07:25Z,2024-12-26T14:33:11Z,8,pm,2024-12-26T14:33:59Z,TRUE,FALSE,28.66,39,1,66.3763888888889
672bae8c4dcf69ba0c8206b7,639a397bc01b7dd0c76ea4ce,61f1d66bcc1e0a018a32786c,2024-11-07T22:30:00Z,2024-11-06T17:59:40Z,2024-11-06T18:16:02Z,8,pm,2024-11-06T18:16:58Z,TRUE,FALSE,25.25,36,1,28.5055555555556
67495272b7f9cfadc7b8d57c,66d2915e93d8c27168fc5b97,60e8d8dc9a5c0a016647a652,2024-11-30T22:00:00Z,2024-11-29T05:34:42Z,2024-11-30T07:00:19Z,8,pm,2024-11-30T07:00:47Z,TRUE,FALSE,27.36,35,1,40.4216666666667
672e39a83821f0c661423e5d,613366df89759101667ecafa,5c06fe1f61d521000488a0f2,2024-12-31T22:30:00Z,2024-11-08T16:17:44Z,2024-12-05T03:45:14Z,9,pm,2024-12-05T03:45:41Z,TRUE,FALSE,33.04,29,1,1278.20444444444
671473c35c3517c01a6d76af,62e1722798ff4c01b6e49fd8,5ebf09a7fe8b200017aeb9eb,2024-10-20T13:30:00Z,2024-10-20T03:06:43Z,2024-10-20T03:20:27Z,8,am,2024-10-20T03:20:39Z,TRUE,FALSE,21.5,26,1,10.3880555555556
